_id,NEW,PREVIOUS
5e989a7019e45c6c8fbc3481,Research & Education,Education
5e989a7019e45c6c8fbc3482,Research & Education,Archive
5e989a7019e45c6c8fbc3483,Research & Education,Facility
5e989a7019e45c6c8fbc3484,Research & Education,Nonprofit
5e989a7019e45c6c8fbc3485,Research & Education,Government
5e989a7019e45c6c8fbc3486,Industry,Company
5e989a7019e45c6c8fbc3487,Healthcare,Healthcare
5e989a7019e45c6c8fbc3488,Other,Other
